,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8,KM9_1,KM9_2,KM9_3,KM9_4,KM9_5,KM9_6,KM9_7,KM9_8,KM9_9
seg_size,8950.0,1679.0,4325.0,2946.0,2752.0,2074.0,2621.0,1503.0,1703.0,2766.0,1910.0,1413.0,1158.0,1261.0,1034.0,1911.0,1670.0,1713.0,1361.0,1317.0,1036.0,1665.0,1013.0,1607.0,1834.0,478.0,1282.0,946.0,975.0,463.0,1014.0,1563.0,1498.0,1209.0,1241.0,870.0,939.0,462.0,1006.0,1552.0,1316.0,1155.0,409.0
Seg_pct,1.0,0.1875977653631285,0.48324022346368717,0.32916201117318433,0.30748603351955306,0.23173184357541898,0.29284916201117317,0.16793296089385476,0.19027932960893854,0.30905027932960893,0.21340782122905028,0.15787709497206703,0.1293854748603352,0.14089385474860336,0.11553072625698324,0.2135195530726257,0.18659217877094972,0.19139664804469272,0.15206703910614525,0.1471508379888268,0.11575418994413408,0.18603351955307262,0.11318435754189944,0.17955307262569833,0.20491620111731843,0.05340782122905028,0.14324022346368714,0.10569832402234637,0.10893854748603352,0.051731843575419,0.11329608938547486,0.1746368715083799,0.16737430167597767,0.13508379888268157,0.13865921787709498,0.09720670391061452,0.10491620111731843,0.051620111731843575,0.1124022346368715,0.17340782122905027,0.1470391061452514,0.12905027932960894,0.045698324022346366
avg_monthly_balance,1452.3995929910166,2037.9378103583974,532.1450862930752,2469.705117264188,530.9680780736918,843.8838393814368,2540.0045984066765,2082.6247978109113,1397.6795261216675,492.1955981877802,935.5455705130629,1904.4444217826608,4127.325640792875,1873.685171688263,4161.593115156043,114.88563711970173,1393.9057798066165,877.2883931356977,1677.4488996657606,1603.9938173525438,4021.4251383646706,872.8856828725226,799.6372582040475,1352.68450531313,110.33340006346783,4353.17446898002,1223.4481646608035,4145.725871406764,99.53029826548718,4346.507818968357,814.380888871499,131.8108969913308,1538.5508888820425,1706.0645905492142,1234.8522370460516,4284.400042552815,99.06769254696485,4330.084970081167,808.8960674897614,132.432017270683,1583.523989719301,1737.8109922147185,1308.5566587237163
balance_frequency,0.8832520119553073,0.976571695652174,0.812408703583815,0.9340712786829598,0.8445899240552326,0.7974855361620057,0.9366407695536055,0.9792904703925482,0.8692555096887845,0.8407457096890817,0.8301931968586388,0.979124465675867,0.9758971200345424,0.977288820777161,0.9736054013539652,0.7687921062271063,0.8683148616766466,0.8174861961471103,0.9892982593681119,0.9889850144267274,0.9696971573359072,0.8139633963963963,0.9687901628825271,0.8657009881767269,0.7618029236641222,0.9896327364016736,0.9563091934477379,0.9677421057082454,0.42556444307692304,0.9892968639308855,0.9692692120315581,0.8478577767114523,0.9261675941255008,0.9886051009098429,0.9628294544721998,0.9758192908045976,0.42913031948881786,0.9892736969696969,0.969962388667992,0.8486263189432991,0.9422976170212766,0.9913815722943724,0.7904986870415647
purchases,823.8630218994413,2711.583553305538,536.1261549132948,170.42757637474543,576.6189498546512,570.2195552073288,146.60614650896602,2807.603877910844,8.11619495008808,572.302107736804,606.9714594240837,2855.684496815286,502.90747366148526,3004.6632934179215,443.0580338491296,523.6279016221873,6.27591616766467,597.4896366024519,802.305788758266,729.3476537585422,324.78083928571425,576.5228330330331,2657.052326752221,4.532314872433106,497.99232279171207,3147.373143305438,651.2737347893915,333.5544180761099,299.71430717948715,3185.625233261338,2659.156919132149,574.8360460652591,6.552423230974632,704.1053101736974,659.2694580983078,339.6030109195403,325.59240628328007,3207.749830086579,2656.124361829026,578.4842461340206,6.7850227963525835,715.3622164502166,164.33552567237163
oneoff_purchases,447.94872983240197,1565.574263251934,239.1716120231214,117.48972233536998,74.7490515988372,530.1957868852458,94.33307210988171,1634.4369248170306,4.739307105108632,79.47932031814895,567.8204984293193,1672.5365449398425,287.90932815198613,1801.2297620935747,279.05871373307536,58.22440607012035,4.502131736526946,574.144805604203,254.9215576781778,229.70971905846622,221.13982239382236,554.7371471471471,1608.6904205330684,3.287461107654014,42.74687022900764,1758.5588284518803,627.9668127925116,224.40446723044397,225.03409641025638,1768.3995853131723,1609.199260355028,39.30271273192578,4.565861148197597,209.78159636062864,633.2111426269137,226.6746045977011,245.81259637912672,1788.1733030303005,1605.9641988071555,39.47125,4.560372340425531,208.81544588744592,110.32383863080683
installments_purchases,336.33604022346344,948.9527784395461,291.9066028901733,52.41676425661914,485.75030886627894,32.140800385728056,51.68737027851965,978.9022571523609,3.376887844979448,477.019022957339,30.591130890052355,987.8813145789089,199.2372582037996,994.3709595559068,151.65453578336553,451.5040593929878,1.7737844311377247,13.800595446584937,521.7252700220424,482.98106112376604,100.87783542471043,12.627231231231232,877.9589684106604,1.2448537647790914,441.1137404580152,1146.887468619245,12.10691887675507,106.12388742071882,73.33873589743588,1171.4199784017258,879.2422485207092,517.5757773512474,1.986562082777036,477.18951612903214,13.418565672844482,109.63799712643677,78.06663205537807,1172.4858441558424,880.5742271371761,520.9225821520616,2.224650455927052,488.1637186147185,54.01168704156479
cash_advance,817.1611457379884,573.5379217861819,122.92134674242773,1975.216313311268,152.95647801162792,259.579258470106,2086.3358807195714,589.4892225109776,1226.9617766917202,134.4862793781634,262.1500652068063,397.7922750714789,3272.27995739896,428.8421781538461,3487.835449842356,42.6322487069597,1214.170684153892,267.66626050554584,439.9359577545922,441.10833148595293,3442.311954459456,268.90402576156157,113.21240655083908,1151.366870271313,40.5552340049073,1421.303695707112,382.1358506333853,3558.7911820665927,222.95957311179484,1421.7299609999986,117.89877235404339,39.159630213691614,1217.8372071909212,476.72050150372206,350.6264696422239,3542.580210442525,188.35558727902017,1414.4922034675312,117.10859412425447,37.38220479059277,1118.6065794848023,444.4040091298701,1967.8665313349622
purchases_frequency,0.49035054837988823,0.9161740291840381,0.5675319079768786,0.1343536018329939,0.7345780610465116,0.321689649951784,0.11733594696680655,0.9263850518962077,0.009360930123311802,0.7267101554591467,0.342477742408377,0.929899609341826,0.3407036424870466,0.9333120372720065,0.2887167533849129,0.7001114782836212,0.0047449029940119765,0.32034924168126094,0.7484221396032329,0.7310027031131359,0.23946442374517377,0.31126621621621625,0.9229657522211254,0.003766506533914126,0.6962117917121047,0.9240459121338912,0.36707190717628707,0.24793923572938692,0.18874803179487182,0.9264448099352052,0.9238635493096647,0.7998556474728087,0.005400970627503337,0.7241230421836229,0.37168828203062043,0.24500727126436783,0.20036466879659212,0.9262855995670995,0.9249562345924454,0.8033526713917527,0.005094637537993921,0.7234440285714285,0.19202405623471883
oneoff_purchases_frequency,0.202457683575419,0.6038062555092316,0.13997271907514452,0.06545266632722335,0.04818067841569767,0.28767523240115717,0.05204404998092331,0.6296454783765802,0.0031275736934820906,0.05060756507592191,0.31018957958115184,0.6441911365888181,0.141610804835924,0.6824769540047582,0.13879078143133466,0.03860570120355835,0.0021203041916167662,0.3074253823701109,0.14985090227773695,0.1393543295368261,0.11633969111969111,0.2989207309309309,0.6708687581441264,0.0018357181082762912,0.027192726281352234,0.5812221087866108,0.35708514352574106,0.11873850528541227,0.09316424615384616,0.5824136133909288,0.6704810966469428,0.029165827255278314,0.002475016021361816,0.12591584036393716,0.3604986244963739,0.11496019655172414,0.09890399680511183,0.5889051277056276,0.6706356848906561,0.02987880219072165,0.002095420972644377,0.12351758528138529,0.08118654523227384
